window_start,calls,cacheable,hits,misses,scans_ms,invalidations,entries_removed,entries_survived,peak_cache_size,shadow_checks,shadow_mismatches
1787275604762,1033,1033,665,368,0.277,321,343,0,46,0,0
1787275615684,476,476,112,364,0.398,92,386,0,120,0,0
1787275625890,1285,1284,433,852,0.878,44,846,0,442,0,0
1787275636000,1662,1662,521,1141,1.903,136,1146,0,549,0,0
1787275646040,1236,1236,371,865,1.818,162,862,0,438,0,0
1787275656074,1319,1319,396,923,2.599,150,926,0,338,0,0
1787275666099,1443,1443,431,1012,2.461,192,1012,0,562,0,0
1787275676137,1500,1500,453,1047,2.324,158,1043,0,490,0,0
1787275686177,1522,1522,674,848,1.320,54,530,0,593,0,0
window_start,calls,cacheable,hits,misses,scans_ms,invalidations,entries_removed,entries_survived,peak_cache_size,shadow_checks,shadow_mismatches
1787330689640,1033,1033,665,368,0.460,321,343,0,46,0,0
1787330704775,364,364,127,237,0.086,0,0,0,262,0,0
1787330715057,1158,1158,721,437,0.097,0,0,0,699,0,0
1787330725084,1398,1398,1398,0,0.000,0,0,0,0,0,0
1787330735113,936,936,936,0,0.000,0,0,0,0,0,0
1787330745140,1084,1084,692,392,0.217,6,887,0,353,0,0
1787330755169,1129,1129,608,521,0.106,8,396,0,624,0,0
1787330765192,1242,1242,819,423,0.133,6,416,0,580,0,0
1787330775225,1359,1359,904,455,0.104,6,455,0,625,0,0
1787330785254,1057,1057,415,642,0.411,62,975,0,426,0,0
1787330795285,1042,1042,334,708,0.651,34,706,0,364,0,0
1787330805319,1197,1197,467,730,0.687,26,696,0,596,0,0
1787330815352,1174,1174,500,674,0.509,8,411,0,478,0,0
1787330825380,1438,1438,936,502,0.703,34,801,0,591,0,0
1787330835417,1048,1048,312,736,0.710,106,736,0,426,0,0
1787330845450,1010,1005,370,640,0.623,8,337,0,455,0,0
1787330855479,1159,1158,679,480,0.487,22,777,0,605,0,0
1787330865514,1307,1305,406,901,0.778,86,899,0,477,0,0
1787330875539,1383,1381,469,914,0.619,24,620,0,581,0,0
1787330885571,1023,1017,428,595,0.581,18,878,0,427,0,0
1787330895602,984,980,334,650,0.521,34,649,0,317,0,0
1787330905628,1206,1206,409,797,0.722,28,717,0,598,0,0
1787330915658,1170,1170,559,611,0.383,6,392,0,539,0,0
1787330925695,1410,1410,937,473,0.379,6,455,0,574,0,0
1787330935724,952,952,631,321,0.715,8,337,0,533,0,0
1787330945755,2190,2190,1062,1128,1.135,6,732,0,1257,0,0
1787330955809,1126,1126,749,377,0.360,6,377,0,980,0,0
1787330965824,1253,1253,792,461,0.466,38,1158,0,938,0,0
1787330975858,1419,1419,469,950,1.370,64,660,0,580,0,0
1787330985889,999,999,656,343,0.366,6,335,0,530,0,0
1787330995921,948,948,628,320,0.358,6,318,0,458,0,0
1787331005951,1435,1435,869,566,1.095,8,481,0,769,0,0
1787331015985,1170,1170,778,392,0.313,6,392,0,626,0,0
1787331026016,1410,1410,938,472,0.519,6,455,0,660,0,0
1787331036054,952,952,632,320,0.354,8,337,0,618,0,0
1787331046088,999,999,663,336,0.411,6,335,0,548,0,0
1787331056119,1127,1127,750,377,0.466,6,378,0,669,0,0
1787331066197,1225,1225,814,411,0.443,8,411,0,626,0,0
1787331076231,1359,1359,904,455,0.488,6,455,0,660,0,0
1787331086264,999,999,664,335,0.338,6,318,0,601,0,0
1787331096297,952,952,631,321,0.365,8,337,0,548,0,0
1787331106329,1179,1179,784,395,0.356,6,395,0,687,0,0
1787331116363,1170,1170,778,392,0.365,6,392,0,610,0,0
1787331126395,1414,1414,940,474,0.620,8,474,0,678,0,0
1787331136425,948,948,630,318,0.343,6,318,0,602,0,0
1787331146458,999,999,664,335,0.422,6,318,0,549,0,0
1787331156495,1129,1129,750,379,0.419,8,396,0,686,0,0
1787331166529,1221,1221,812,409,1.082,6,409,0,627,0,0
1787331176553,1359,1359,904,455,0.406,6,455,0,678,0,0
1787331186586,999,999,664,335,0.415,6,318,0,602,0,0
1787331196613,952,952,632,320,0.283,8,337,0,549,0,0
1787331206648,1176,1176,782,394,0.467,6,394,0,686,0,0
1787331216683,1170,1170,778,392,0.447,6,392,0,610,0,0
1787331226714,1414,1414,940,474,0.446,8,474,0,678,0,0
1787331236748,948,948,630,318,0.251,6,318,0,602,0,0
1787331246780,999,999,663,336,0.497,6,318,0,549,0,0
1787331256810,1131,1131,752,379,0.292,8,397,0,687,0,0
1787331266849,1221,1221,812,409,0.739,6,409,0,627,0,0
1787331276875,1359,1359,904,455,0.468,6,455,0,678,0,0
1787331286908,1003,1003,666,337,0.356,8,337,0,619,0,0
1787331296939,948,948,629,319,0.267,6,318,0,549,0,0
1787331306962,5011,5011,2583,2428,4.695,6,1950,0,2721,0,0
1787331316997,1210,1210,777,433,1.165,44,1296,0,1089,0,0
1787331327031,1531,1531,467,1064,1.023,126,1066,0,544,0,0
1787331337062,1047,1047,315,732,1.017,102,733,0,427,0,0
