window_start,calls,cacheable,hits,misses,scans_ms,invalidations,entries_removed,entries_survived,peak_cache_size,shadow_checks,shadow_mismatches
1787275207526,1033,1033,665,368,0.273,321,163,36080,205,665,0
1787275217610,364,364,127,237,0.064,0,0,0,442,127,0
1787275227886,1158,1158,721,437,0.058,0,0,0,879,721,0
1787275237916,1398,1398,1398,0,0.000,0,0,0,0,1398,0
1787275247944,936,936,936,0,0.000,0,0,0,0,936,0
1787275257968,1074,1074,1016,58,0.025,0,0,0,937,1016,0
1787275267997,1267,1262,1130,137,0.419,132,130,61872,941,1130,0
1787275278026,1463,1463,1239,224,0.718,209,209,99455,955,1239,0
1787275288054,1562,1562,1350,212,0.792,206,214,98066,956,1350,0
1787275298083,1138,1138,991,147,0.504,140,147,66816,958,991,0
1787275308110,1843,1773,1693,150,0.581,66,72,31566,960,1693,0
1787275318136,2103,1877,1516,587,1.960,318,368,151480,960,1516,0
1787275328163,1318,1318,1171,147,0.477,139,148,66277,957,1171,0
1787275338192,1640,1640,1400,240,0.745,234,240,111366,956,1400,0
1787275348224,1064,1064,951,113,0.375,102,113,48586,958,951,0
1787275358253,1002,1002,991,11,0.017,0,0,0,963,991,0
1787275368280,1240,1239,1133,107,0.442,96,112,46207,970,1133,0
1787275378315,1340,1340,1231,109,0.518,80,97,39423,970,1231,0
1787275388344,1587,1587,1411,176,0.833,122,175,59876,974,1411,0
1787275398378,1133,1133,1072,61,0.345,36,72,18147,978,1072,0
1787275408408,1110,1110,1024,86,0.416,56,77,27544,969,1024,0
1787275418433,1335,1335,1236,99,0.361,64,109,31453,974,1236,0
1787275428464,1357,1357,1219,138,0.536,88,129,43072,968,1219,0
window_start,calls,cacheable,hits,misses,scans_ms,invalidations,entries_removed,entries_survived,peak_cache_size,shadow_checks,shadow_mismatches
1787275459843,1033,1033,665,368,0.294,321,163,36080,205,665,0
1787275472602,366,366,129,237,0.133,2,1,440,441,129,0
1787275482877,1257,1257,741,516,0.408,74,74,31970,884,741,0
1787275492909,1413,1412,1404,9,0.045,8,12,3728,885,1404,0
1787275502944,1137,1137,998,139,1.214,84,137,38676,892,998,0
1787275512973,1404,1404,1081,323,2.174,188,266,88290,945,1081,0
1787275523010,1372,1372,1176,196,1.355,138,180,66672,954,1176,0
1787275533028,1371,1371,1282,89,0.796,44,92,21810,968,1282,0
