source_x,source_y,source_z,itemid,actionid,uniqueid,dest_x,dest_y,dest_z,origin,teleport_kind,movement_script
32481,31905,1,1387,0,0,0,0,0,item_node,item_type_teleport,
32805,31587,1,1387,988,0,0,0,0,item_node,item_type_teleport,
32479,31904,2,1387,0,0,0,0,0,item_node,item_type_teleport,
33216,32455,2,1387,30027,0,0,0,0,item_node,item_type_teleport,
32476,31904,3,1387,0,0,0,0,0,item_node,item_type_teleport,
33079,32594,3,1387,0,0,0,0,0,item_node,item_type_teleport,
32481,31904,4,1387,0,0,0,0,0,item_node,item_type_teleport,
33195,32851,4,1397,0,0,0,0,0,item_node,item_type_teleport,
32476,31904,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32659,31683,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32659,31684,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32659,31685,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32659,31686,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32660,31683,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32660,31686,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32661,31683,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32661,31686,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32662,31683,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32662,31684,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32662,31685,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32662,31686,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32794,31576,5,1387,0,0,32812,31577,5,item_node,item_type_teleport,
32805,31577,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32805,31578,5,1387,0,0,0,0,0,item_node,item_type_teleport,
32812,31576,5,1387,0,0,32794,31577,5,item_node,item_type_teleport,
33221,32406,5,1387,0,0,0,0,0,item_node,item_type_teleport,
33328,32184,5,5023,0,0,0,0,0,item_node,item_type_teleport,
32307,32210,6,3588,0,0,0,0,0,item_node,item_type_teleport,
32307,32211,6,3589,0,0,0,0,0,item_node,item_type_teleport,
32369,32246,6,1387,30023,0,0,0,0,item_node,item_type_teleport,
32595,32749,6,1387,30028,0,0,0,0,item_node,item_type_teleport,
33027,32580,6,1387,0,0,33021,32605,7,item_node,item_type_teleport,
33071,32170,6,1387,0,0,0,0,0,item_node,item_type_teleport,
33071,32171,6,1387,0,0,0,0,0,item_node,item_type_teleport,
33072,32169,6,1387,0,0,0,0,0,item_node,item_type_teleport,
33072,32172,6,1387,0,0,0,0,0,item_node,item_type_teleport,
33195,32849,6,1387,30026,0,0,0,0,item_node,item_type_teleport,
32557,32781,7,3593,0,0,0,0,0,item_node,item_type_teleport,
32558,32781,7,3594,0,0,0,0,0,item_node,item_type_teleport,
32559,32781,7,3595,0,0,0,0,0,item_node,item_type_teleport,
32607,31682,7,1387,30021,0,0,0,0,item_node,item_type_teleport,
32627,32772,7,3593,0,0,0,0,0,item_node,item_type_teleport,
32628,32772,7,3594,0,0,0,0,0,item_node,item_type_teleport,
32629,32772,7,3595,0,0,0,0,0,item_node,item_type_teleport,
32636,31881,7,1387,0,0,0,0,0,item_node,item_type_teleport,
32678,32775,7,3593,0,0,0,0,0,item_node,item_type_teleport,
32679,32775,7,3594,0,0,0,0,0,item_node,item_type_teleport,
32680,32775,7,3595,0,0,0,0,0,item_node,item_type_teleport,
32787,32327,7,1387,0,0,0,0,0,item_node,item_type_teleport,
32831,32294,7,1387,0,0,0,0,0,item_node,item_type_teleport,
32859,32338,7,1387,0,0,32836,32294,7,item_node,item_type_teleport,
32925,32892,7,3595,0,0,0,0,0,item_node,item_type_teleport,
32926,32892,7,3593,0,0,0,0,0,item_node,item_type_teleport,
32927,32892,7,3595,0,0,0,0,0,item_node,item_type_teleport,
32945,32879,7,3590,0,0,0,0,0,item_node,item_type_teleport,
32945,32880,7,3588,0,0,0,0,0,item_node,item_type_teleport,
32945,32881,7,3590,0,0,0,0,0,item_node,item_type_teleport,
32951,32035,7,1387,30024,0,0,0,0,item_node,item_type_teleport,
32965,32868,7,3595,0,0,0,0,0,item_node,item_type_teleport,
32966,32868,7,3593,0,0,0,0,0,item_node,item_type_teleport,
32967,32868,7,3595,0,0,0,0,0,item_node,item_type_teleport,
32971,32861,7,3590,0,0,0,0,0,item_node,item_type_teleport,
32971,32862,7,3588,0,0,0,0,0,item_node,item_type_teleport,
32971,32863,7,3590,0,0,0,0,0,item_node,item_type_teleport,
33148,32864,7,1387,0,0,0,0,0,item_node,item_type_teleport,
33150,32556,7,1387,0,0,0,0,0,item_node,item_type_teleport,
33150,32864,7,1387,0,0,0,0,0,item_node,item_type_teleport,
33151,32556,7,1387,0,0,0,0,0,item_node,item_type_teleport,
33152,32556,7,1387,0,0,0,0,0,item_node,item_type_teleport,
32187,31622,8,1387,0,0,32107,31567,9,item_node,item_type_teleport,
32360,31784,8,1387,30025,0,0,0,0,item_node,item_type_teleport,
32566,32120,8,1387,0,0,32569,32110,7,item_node,item_type_teleport,
32676,32100,8,1387,0,0,32660,32113,8,item_node,item_type_teleport,
32677,32146,8,1387,0,0,0,0,0,item_node,item_type_teleport,
32677,32154,8,1387,0,0,0,0,0,item_node,item_type_teleport,
32681,32143,8,1387,0,0,0,0,0,item_node,item_type_teleport,
32684,32156,8,1387,0,0,0,0,0,item_node,item_type_teleport,
32686,32152,8,1387,0,0,0,0,0,item_node,item_type_teleport,
32691,32144,8,1387,0,0,0,0,0,item_node,item_type_teleport,
32691,32154,8,1387,0,0,0,0,0,item_node,item_type_teleport,
32692,32148,8,1387,0,0,0,0,0,item_node,item_type_teleport,
33192,32845,8,1397,0,0,0,0,0,item_node,item_type_teleport,
33210,31804,8,1387,30029,0,0,0,0,item_node,item_type_teleport,
32082,32171,9,1387,0,0,0,0,0,item_node,item_type_teleport,
32089,32171,9,1387,0,0,0,0,0,item_node,item_type_teleport,
32107,31566,9,1387,0,0,32189,31625,4,item_node,item_type_teleport,
32233,32276,9,1387,0,0,32225,32265,10,item_node,item_type_teleport,
32615,32484,9,1387,0,0,32615,32485,10,item_node,item_type_teleport,
32814,32225,9,1387,0,0,0,0,0,item_node,item_type_teleport,
32815,31599,9,1387,2112,0,0,0,0,item_node,item_type_teleport,
32816,32347,9,1387,0,0,32857,32234,11,item_node,item_type_teleport,
32826,32347,9,1387,0,0,0,0,0,item_node,item_type_teleport,
32839,32533,9,1387,0,0,0,0,0,item_node,item_type_teleport,
32208,32433,10,1387,0,0,32167,32438,9,item_node,item_type_teleport,
32212,32433,10,1387,0,0,32281,32389,10,item_node,item_type_teleport,
32225,32276,10,1387,0,0,32229,32276,9,item_node,item_type_teleport,
32234,32502,10,1387,0,0,32210,32437,10,item_node,item_type_teleport,
32262,31889,10,1387,0,0,32259,31892,10,item_node,item_type_teleport,
32615,32484,10,1387,0,0,32615,32482,9,item_node,item_type_teleport,
32675,31646,10,1387,0,0,32725,31589,12,item_node,item_type_teleport,
32749,32538,10,1387,0,0,32840,32533,9,item_node,item_type_teleport,
32826,32249,10,1387,0,0,32829,32243,11,item_node,item_type_teleport,
32829,32252,10,1387,0,0,32824,32232,12,item_node,item_type_teleport,
32854,32544,10,1387,0,0,0,0,0,item_node,item_type_teleport,
33157,32832,10,1397,6014,0,0,0,0,item_node,item_type_teleport,
33162,32831,10,1397,6013,0,0,0,0,item_node,item_type_teleport,
32554,32213,11,1387,0,0,32526,32156,12,item_node,item_type_teleport,
32644,32138,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32644,32140,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32644,32142,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32644,32144,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32770,32226,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32780,32255,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32786,32225,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32832,32242,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32846,32333,11,1387,0,0,32830,32333,11,item_node,item_type_teleport,
32854,32257,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32857,32230,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32857,32235,11,1387,0,0,32848,32229,9,item_node,item_type_teleport,
32874,31955,11,1387,0,0,32874,31942,12,item_node,item_type_teleport,
32883,32526,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32883,32633,11,1387,0,0,32839,32531,9,item_node,item_type_teleport,
33149,32869,11,1387,0,0,33162,32851,11,item_node,item_type_teleport,
33163,32851,11,1387,0,0,33149,32870,11,item_node,item_type_teleport,
33179,32890,11,1387,13001,0,0,0,0,item_node,item_type_teleport,
33193,32908,11,1387,0,0,33179,32879,11,item_node,item_type_teleport,
33198,32887,11,1387,0,0,33192,32908,11,item_node,item_type_teleport,
33278,31592,11,1387,0,0,33281,31592,12,item_node,item_type_teleport,
33318,31674,11,1387,0,0,0,0,0,item_node,item_type_teleport,
33318,31675,11,1387,0,0,0,0,0,item_node,item_type_teleport,
33321,31671,11,1387,0,0,0,0,0,item_node,item_type_teleport,
33321,31678,11,1387,0,0,0,0,0,item_node,item_type_teleport,
33322,31671,11,1387,0,0,0,0,0,item_node,item_type_teleport,
33322,31678,11,1387,0,0,0,0,0,item_node,item_type_teleport,
32120,32046,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32266,31857,12,1387,0,0,32266,31864,12,item_node,item_type_teleport,
32266,31863,12,1387,0,0,32266,31858,12,item_node,item_type_teleport,
32526,32155,12,1387,0,0,32554,32212,11,item_node,item_type_teleport,
32622,32103,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32642,31925,12,1387,30022,0,0,0,0,item_node,item_type_teleport,
32801,32262,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32814,32245,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32821,32238,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32821,32241,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32821,32244,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32825,32223,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32825,32236,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32829,32238,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32829,32241,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32829,32244,12,1387,0,0,0,0,0,item_node,item_type_teleport,
32855,32335,12,1387,0,0,32850,32333,12,item_node,item_type_teleport,
32874,31941,12,1387,0,0,32874,31948,11,item_node,item_type_teleport,
